time   pid avg min max msg con
1553693894540 50858 3.69 1 5 100 100
1553693895542 50858 13.54 2 90 100 100
1553693896547 50858 3.27 1 5 100 100
1553693897547 50858 3.42 1 8 100 100
1553693898550 50858 3.53 1 7 100 100
1553693899551 50858 2.28 1 4 100 100
1553693900555 50858 4.23 1 8 100 100
1553693901560 50858 10.54 1 25 100 100
1553693902563 50858 25.52 1 44 100 100
1553693903568 50858 7.85 1 38 100 100
1553693904572 50858 9.35 1 23 100 100
1553693905575 50858 5.57 1 15 100 100
1553693906576 50858 15.73 1 73 100 100
1553693907577 50858 7.01 1 27 100 100
1553693908577 50858 9.51 1 47 100 100
1553693909582 50858 6.79 1 24 100 100
1553693910585 50858 12.36 1 31 100 100
1553693911587 50858 2.81 1 8 100 100
1553693912591 50858 5.05 1 10 100 100
1553693913590 50858 16.24 1 48 100 100
1553693914591 50858 24.89 1 85 100 100
1553693915591 50858 16.88 1 62 100 100
1553693916594 50858 5.48 1 21 100 100
1553693917597 50858 6.16 1 18 100 100
1553693918601 50858 6.36 1 102 62 100
1553693928885 51644 0.00 0 0 0 1000
1553693929886 51644 181.96 56 236 285 1000
1553693930888 51644 0.00 0 0 0 1000
1553693931891 51644 0.00 0 0 0 1000
1553693932891 51644 0.00 0 0 0 1000
1553693933891 51644 0.00 0 0 0 1000
1553693959210 51801 0.00 0 0 0 200
1553693960212 51801 0.00 0 0 180 200
1553693961212 51801 0.00 0 0 0 200
1553693962215 51801 0.00 0 0 0 200
1553693963219 51801 0.00 0 0 0 200
1553693969429 51867 0.00 0 0 0 200
1553693970431 51867 0.00 0 0 107 200
1553693992943 52001 0.00 0 0 0 200
1553693993944 52001 134.03 102 161 200 200
1553693994948 52001 22.39 1 54 200 200
1553693995948 52001 18.51 1 66 200 200
1553693996950 52001 35.50 1 100 200 200
1553693997955 52001 21.79 1 60 200 200
1553693998955 52001 14.05 1 42 200 200
1553693999956 52001 22.25 1 68 200 200
1553694000959 52001 17.02 1 86 200 200
1553694001961 52001 24.99 1 87 200 200
1553694002966 52001 70.05 1 197 200 200
1553694003966 52001 19.09 1 65 200 200
1553694004969 52001 9.69 1 33 200 200
1553694005973 52001 9.37 1 28 200 200
1553694006975 52001 10.04 1 38 200 200
1553694007977 52001 7.26 1 50 200 200
1553694008976 52001 5.96 1 42 200 200
1553694009977 52001 14.49 1 58 200 200
1553694010977 52001 10.11 1 45 200 200
1553694011978 52001 6.37 1 46 200 200
1553694012977 52001 7.92 1 36 200 200
1553694013978 52001 57.30 1 164 200 200
1553694014979 52001 34.34 1 142 200 200
1553694015979 52001 10.65 1 33 200 200
1553694016980 52001 8.63 1 32 200 200
1553694017981 52001 6.70 1 27 200 200
1553694018986 52001 7.52 1 27 200 200
1553694019987 52001 6.45 1 24 200 200
1553694020992 52001 8.45 1 26 200 200
1553694021991 52001 7.92 1 26 200 200
1553694022996 52001 7.86 1 28 200 200
1553694024000 52001 5.84 1 33 200 200
1553694025001 52001 9.63 1 30 200 200
1553694026006 52001 6.03 1 22 200 200
1553694027011 52001 5.42 1 20 200 200
1553694028015 52001 49.50 1 204 200 200
1553694029018 52001 17.34 1 51 200 200
1553694030020 52001 28.26 1 84 200 200
1553694031020 52001 92.25 1 165 200 200
1553694032023 52001 17.89 1 88 200 200
1553694033023 52001 10.14 1 38 200 200
1553694034023 52001 9.81 1 26 200 200
1553694035026 52001 7.64 1 34 200 200
1553694036027 52001 9.73 1 62 200 200
1553694037029 52001 4.92 1 23 200 200
1553694038032 52001 12.79 1 96 200 200
1553694039037 52001 2.92 1 21 200 200
1553694040042 52001 4.70 1 22 200 200
1553694041047 52001 4.16 1 20 200 200
1553694042052 52001 3.43 1 18 200 200
1553694043053 52001 3.81 1 20 200 200
1553694044053 52001 4.28 1 20 200 200
1553694045057 52001 5.84 1 24 200 200
1553694046061 52001 3.27 1 22 200 200
1553694047062 52001 5.66 1 31 200 200
1553694048066 52001 2.96 1 20 200 200
1553694049069 52001 7.13 1 31 200 200
1553694050069 52001 4.20 1 23 200 200
1553694051070 52001 6.22 1 25 200 200
1553694052075 52001 4.06 1 25 200 200
1553694053080 52001 7.50 1 27 200 200
1553694054081 52001 5.28 1 28 200 200
1553694055086 52001 3.50 1 20 200 200
1553694056088 52001 7.68 1 22 200 200
1553694057090 52001 5.88 1 31 200 200
1553694058090 52001 14.12 1 52 200 200
1553694059091 52001 37.09 1 147 200 200
1553694060095 52001 4.22 1 23 200 200
1553694061097 52001 6.20 1 25 200 200
1553694062101 52001 7.53 1 37 200 200
1553694063109 52001 8.97 1 42 200 200
1553694064111 52001 21.53 1 142 200 200
1553694065116 52001 10.06 1 23 200 200
1553694066116 52001 13.86 1 29 200 200
1553694067118 52001 11.15 1 31 200 200
1553694068122 52001 40.21 1 94 200 200
1553694069124 52001 11.85 1 47 200 200
1553694070125 52001 4.62 1 34 200 200
1553694071126 52001 3.83 1 27 200 200
1553694072131 52001 18.12 1 92 200 200
1553694073136 52001 12.37 1 31 200 200
1553694084607 52322 0.00 0 0 0 300
1553694085612 52322 0.00 0 0 135 300
1553694095335 52401 0.00 0 0 0 200
1553694096338 52401 0.00 0 0 0 200
